species,year,strata,rpn,rpn_var,rpw,rpw_var
Sablefish,2005,Western Gulf of Alaska,88907.5283989853,76273028.4722566,252326.166935017,614353726.868416
Sablefish,2006,Western Gulf of Alaska,74857.6564146029,88148393.7399542,212686.739870705,711578436.117223
Sablefish,2007,Western Gulf of Alaska,51951.7239169327,110862504.799759,128156.748459491,674633216.213032
Sablefish,2008,Western Gulf of Alaska,57001.3145451846,39653446.7775091,159363.431156189,309947789.94322
Sablefish,2009,Western Gulf of Alaska,70378.0331823297,144023845.153849,210395.206736455,1287157919.25714
Sablefish,2010,Western Gulf of Alaska,54170.6830748344,89862931.4339478,151784.51302037,705516022.21687
Sablefish,2011,Western Gulf of Alaska,85901.0080551577,189924170.337999,204080.458379482,1071979695.35706
Sablefish,2012,Western Gulf of Alaska,75219.1961568804,108556352.961741,144067.008544565,398223555.308388
Sablefish,2013,Western Gulf of Alaska,40545.6222415634,34333454.6978191,99621.4754738115,207269550.214979
Sablefish,2014,Western Gulf of Alaska,68386.4249627254,50677520.3832616,168330.741634559,307045282.556886
Sablefish,2015,Western Gulf of Alaska,37450.1860697945,18518746.3071753,96349.7207065185,122575745.350655
Sablefish,2016,Western Gulf of Alaska,75727.7426045849,80324021.9072832,172845.749094621,418458920.362431
Sablefish,2017,Western Gulf of Alaska,63335.4017294261,49499390.7121562,137001.249098853,231609221.999527
Sablefish,2018,Western Gulf of Alaska,86112.8674556291,36895180.2955972,185928.655432775,171999107.089597
Sablefish,2019,Western Gulf of Alaska,96941.8445934993,40739960.5124823,176874.697749439,135621788.36975
Sablefish,2020,Western Gulf of Alaska,130172.329748073,60099304.7684288,286963.91455339,292069810.467789
Sablefish,2021,Western Gulf of Alaska,133654.053120818,154844034.360686,297883.130738417,769169456.734655
Sablefish,2022,Western Gulf of Alaska,153910.783240489,85095407.1723653,361681.113711763,469915409.632728
Sablefish,2023,Western Gulf of Alaska,138086.289268083,298141383.930096,286882.156317041,1286850862.14793
